security_id,price_date,close_price,vendor,currency
SEC00000,2026-03-20,49.46,Refinitiv,EUR
SEC00000,2026-03-21,49.57,Refinitiv,CAD
SEC00000,2026-03-22,50.78,Refinitiv,JPY
SEC00000,2026-03-23,50.95,Bloomberg,INR
SEC00000,2026-03-24,52.19,Bloomberg,INR
SEC00000,2026-03-25,50.45,Refinitiv,GBP
SEC00000,2026-03-26,50.89,ICE,INR
SEC00000,2026-03-27,50.55,Bloomberg,GBP
SEC00000,2026-03-28,49.8,Refinitiv,USD
SEC00000,2026-03-29,50.86,Refinitiv,USD
SEC00000,2026-03-30,51.7,Refinitiv,EUR
SEC00000,2026-03-31,49.86,Bloomberg,INR
SEC00000,2026-04-01,50.53,Bloomberg,USD
SEC00000,2026-04-02,51.09,Bloomberg,USD
SEC00000,2026-04-03,50.45,ICE,CAD
SEC00000,2026-04-04,49.72,ICE,INR
SEC00000,2026-04-05,48.32,Bloomberg,JPY
SEC00000,2026-04-06,48.05,Bloomberg,EUR
SEC00000,2026-04-07,47.92,Refinitiv,INR
SEC00000,2026-04-08,48.63,Bloomberg,EUR
SEC00000,2026-04-09,48.89,ICE,EUR
SEC00000,2026-04-10,47.99,Refinitiv,EUR
SEC00000,2026-04-11,48.22,ICE,JPY
SEC00000,2026-04-12,48.02,Bloomberg,USD
SEC00000,2026-04-13,47.24,ICE,CAD
SEC00000,2026-04-14,45.91,ICE,USD
SEC00000,2026-04-15,46.45,ICE,JPY
SEC00000,2026-04-16,46.84,ICE,GBP
SEC00000,2026-04-17,47.34,Refinitiv,JPY
SEC00000,2026-04-18,46.74,Bloomberg,INR
SEC00000,2026-04-19,46.91,Refinitiv,EUR
SEC00000,2026-04-20,45.77,ICE,EUR
SEC00000,2026-04-21,44.98,ICE,EUR
SEC00000,2026-04-22,45.03,Refinitiv,GBP
SEC00000,2026-04-23,45.26,ICE,EUR
SEC00000,2026-04-24,43.96,Bloomberg,EUR
SEC00000,2026-04-25,43.14,Bloomberg,GBP
SEC00000,2026-04-26,42.88,Refinitiv,CAD
SEC00000,2026-04-27,43.64,Refinitiv,GBP
SEC00000,2026-04-28,43.03,Bloomberg,USD
SEC00000,2026-04-29,43.16,ICE,JPY
SEC00000,2026-04-30,43.37,Refinitiv,GBP
SEC00000,2026-05-01,43.2,Refinitiv,CAD
SEC00000,2026-05-02,43.43,Bloomberg,GBP
SEC00000,2026-05-03,42.4,Bloomberg,USD
